S.No.,District Name,Janpad / Block Name,Panchayat Name,Work Start Fin Year,Work Status,Work Code,Work Name,Work Type,Sanction Wages (Rs),Sanction Material (Rs),Total Sanction (Rs),Booked Current FY Wages (Rs),Booked Current FY Material (Rs),Paid Current FY Wages (Rs),Paid Current FY Material (Rs),Booked Since Inception Wages (Rs),Booked Since Inception Material (Rs),Paid Since Inception Wages (Rs),Paid Since Inception Material (Rs),Total Mandays,Mandays Generated Current FY
13,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035604004,एक बगिया माँ के नाम हितग्राही रानी बाई कुशवाहा /केशव प्रसाद कुशवाहा ग्रा0पंचा0आमिन,Ek Bagiya,60597.3,103068.38,163848,0,0,0,0,0,0,0,0,0,0
14,SATNA,AMARPATAN,AMIN,2021-2022,Ongoing,1712006016/IF/IAY/3175888,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4822500,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
15,SATNA,AMARPATAN,AMIN,2021-2022,Ongoing,1712006016/IF/IAY/3525501,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4138614,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
16,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/IF/IAY/4567504,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116164712,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
17,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/IF/IAY/4604062,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP124053351,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
18,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770022,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522066,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
19,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770023,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522271,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
20,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770159,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116208362,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
21,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770283,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122677907,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
22,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770364,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122006747,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
23,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770366,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122009116,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
24,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770444,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116596562,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
25,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770600,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122008146,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
26,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770650,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122676996,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
27,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770697,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP119494921,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
28,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770976,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP130399242,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
29,SATNA,AMARPATAN,AMIN,2022-2023,Ongoing,1712006016/RC/22012034620525,पीसीसी रोड सह नाली निर्माण रमेश कुशवाहा के घर से जगदीश कुशवाहा के घर तक(नरेगा+15वां वित्त),Pcc Road & Coverd Nali,79000,0,467000,0,0,0,0,0,0,0,0,0,0
30,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/RC/22012034679050,बंद नाली निर्माण कार्य सतैलाल केवट के घर से सुखेन्द्र सिंह के घर की तरफ ग्राम पंचायत आमिन(नरेगा+15वा,Pcc Road & Coverd Nali,170000,0,1497000,0,0,0,0,0,0,0,0,0,0
31,SATNA,AMARPATAN,AMJHAR,2020-2021,Ongoing,1712006009/AV/22012034515745,गौशाला निर्माण कार्य ग्राम अमझर ग्राम पं अमझर,Gaushala,422557.44,3362024.77,3784864,0,0,0,0,0,0,0,0,0,0
32,SATNA,AMARPATAN,AMJHAR,2021-2022,Ongoing,1712006009/AV/22012034595050,पेवर ब्लॉक निर्माण कार्य मा ० शाला परिसर अमझर ग्राम पंचायत अमझर (मनरेगा +15 वित्त ),Pewar Block,147400,0,737000,0,0,0,0,0,0,0,0,0,0
33,SATNA,AMARPATAN,AMJHAR,2021-2022,Ongoing,1712006009/AV/22012034595085,पेवर ब्लॉक निर्माण कार्य शा ० प्रा ० शाला भड़री ग्राम पंचायत अमझर (मनरेगा +15 वित्त ),Pewar Block,98700,0,493500,0,0,0,0,0,0,0,0,0,0
34,SATNA,AMARPATAN,AMJHAR,2021-2022,Ongoing,1712006009/AV/22012034603945,नवीन पंचायत भवन निर्माण (मनरेगा- जनपद 15vitt अभिशरण),Panchayat & Community Bhawan,248850,751150,2000000,0,0,0,0,0,0,0,0,0,0
35,SATNA,AMARPATAN,AMJHAR,2024-2025,Ongoing,1712006009/DP/22012034624874,वृक्षारोपण कार्य गौशाला के पास ग्राम अमझर ग्राम पंचायत अमझर (नरेगा ),Plantation,157255.62,160659.85,318230,0,0,0,0,0,0,0,0,0,0
36,SATNA,AMARPATAN,AMJHAR,2018-2019,Ongoing,1712006009/IF/22012034350169,RSP वृक्ष रोपण कार्य धुसाड़ा मोड़ से हनुमान मंदिर तक,Plantation,246800,88200,335000,0,0,0,0,0,0,0,0,0,0
37,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/22012035382942,खेत तलाब निर्माण कार्य कुलदीप सिंह पिता श्री सतेंद्र सिंह ग्राम अमझर ग्राम पंचायत अमझर,Khet Talab,365838.98,85046.66,450886,0,0,0,0,0,0,0,0,0,0
38,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/3597290,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP5538796,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
39,SATNA,AMARPATAN,AMJHAR,2024-2025,Ongoing,1712006009/IF/IAY/4660491,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149301407,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
40,SATNA,AMARPATAN,AMJHAR,2024-2025,Ongoing,1712006009/IF/IAY/4726371,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150718061,PMAY-G,21870,0,21870,0,0,0,0,0,0,0,0,0,0
41,SATNA,AMARPATAN,AMJHAR,2024-2025,Ongoing,1712006009/IF/IAY/4726752,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150308934,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
42,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5304143,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149524088,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
43,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703461,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149717098,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
44,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703462,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149717195,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
45,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703479,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149208341,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
46,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703764,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372393,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
47,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703767,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372696,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
48,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703835,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149612167,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
49,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703856,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151013200,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
50,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703885,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149523929,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
51,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703886,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149524110,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
52,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5703939,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150948312,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
53,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5770536,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151013412,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
54,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5771072,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372734,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
55,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5803092,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149549638,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
56,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5860081,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372251,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
57,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860083,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372518,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
58,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860146,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149626714,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
59,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860151,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149665951,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
60,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5860208,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149524160,PMAY-G,23490,0,23490,4500,0,0,0,0,0,0,0,15,15
61,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860209,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149524182,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
62,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5860255,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149207622,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
63,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860259,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149208128,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
64,SATNA,AMARPATAN,AMJHAR,2025-2026,Ongoing,1712006009/IF/IAY/5860409,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150795520,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
65,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5894711,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149549607,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
66,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5895093,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151041755,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
67,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5896383,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372618,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
68,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/5897515,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149717461,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
69,SATNA,AMARPATAN,AMJHAR,2026-2027,Ongoing,1712006009/IF/IAY/6099834,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149372364,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
70,SATNA,AMARPATAN,ANANDGARH,2020-2021,Ongoing,1712006030/AV/22012034508972,ग्राम पंचायत भवन आनंदगढ मनरेगा- डी0एम0एफ0 अभिशरण,Panchayat & Community Bhawan,373000,0,1448000,0,0,0,0,0,0,0,0,0,0
71,SATNA,AMARPATAN,ANANDGARH,2022-2023,Ongoing,1712006030/DP/22012034552450,बांस व्रक्षारोपण कार्य मुकुंदपुर परिक्षेत्र बीट आनंदगढ आर0एफ0723,Plantation,1817000,2085000,3902000,0,0,0,0,0,0,0,0,0,0
72,SATNA,AMARPATAN,ANANDGARH,2020-2021,Ongoing,1712006030/IF/22012034622383,खेत तालाब कार्य रामभगत केवट/ रामसजीवन केवट ललितपुर नंबर 01,Khet Talab,212329.58,40310.910000000003,252806,0,0,0,0,0,0,0,0,0,0
73,SATNA,AMARPATAN,ANANDGARH,2024-2025,Ongoing,1712006030/IF/IAY/4562503,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP115669241,PMAY-G,23490,0,23490,3443,0,0,0,0,0,0,0,13,13
74,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/4849325,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP124124317,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
75,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5541840,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128158290,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
76,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5549858,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP127256412,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
77,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5584453,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128124902,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
78,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5860231,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121763146,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
79,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5860309,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121760138,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
80,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/IF/IAY/5860334,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP129887251,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
81,SATNA,AMARPATAN,ANANDGARH,2026-2027,Ongoing,1712006030/IF/IAY/5878323,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP127266594,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
82,SATNA,AMARPATAN,ANANDGARH,2018-2019,Ongoing,1712006030/PG/22012034366467,खेल मैदान निर्माण कार्य ग्राम ललितपुर नं. 1,Play Ground,162000,191000,353000,0,0,0,0,0,0,0,0,0,0
83,SATNA,AMARPATAN,ANANDGARH,2025-2026,Ongoing,1712006030/RC/22012034839476,पीसीसी रोड निर्माण कार्य मुख्यमार्ग हैण्डपम्प से उचित मूल्य की दुकान की ओरआनंदगढ़ (नरेगा+5वां वित्त),Pcc Road & Coverd Nali,54000,0,508000,0,0,0,0,0,0,0,0,0,0
84,SATNA,AMARPATAN,BACHHARA,2018-2019,Ongoing,1712006041/AV/22012034400106,आंगनवाड़ी भवन निर्माण कार्य ग्राम कुलुहा,Anganwadi,180000,0,780000,0,0,0,0,0,0,0,0,0,0
85,SATNA,AMARPATAN,BACHHARA,2018-2019,Ongoing,1712006041/AV/22012034400110,आंगनवाड़ी भवन निर्माण कार्य ग्राम हरदी,Anganwadi,180000,0,780000,0,0,0,0,0,0,0,0,0,0
86,SATNA,AMARPATAN,BACHHARA,2024-2025,Ongoing,1712006041/DP/22012034625223,बृक्षारोपण कार्य मुक्तिधाम हरदी ग्राम पंचायत बछरा,Plantation,157255.62,160659.85,318230,0,0,0,0,0,0,0,0,0,0
87,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/22012035307953,खेत तालाब निर्माण कार्य पुनीत सिंह /इंद्रभान सिंह ग्राम हरदी ग्राम पंचायत बछरा (नरेगा ),Khet Talab,365838.98,85046.66,450886,0,0,0,0,0,0,0,0,0,0
88,SATNA,AMARPATAN,BACHHARA,2024-2025,Ongoing,1712006041/IF/IAY/4620749,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126757426,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
89,SATNA,AMARPATAN,BACHHARA,2024-2025,Ongoing,1712006041/IF/IAY/4647699,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP143165927,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
90,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/4777556,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126758376,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
91,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/4966722,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126767898,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
92,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/4970411,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128170373,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
93,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5134896,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128171567,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
94,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5139192,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128145346,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
95,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5541842,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128172137,PMAY-G,23490,0,23490,3915,0,3915,0,3915,0,3915,0,15,15
96,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5544485,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP130302410,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
97,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5546395,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP143166837,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
98,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5547913,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP143483786,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
99,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5548199,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128174177,PMAY-G,23490,0,23490,3915,0,3915,0,3915,0,3915,0,15,15
100,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5550373,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP120299286,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
101,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5628008,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP128170968,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
102,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5723576,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126774223,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
103,SATNA,AMARPATAN,BACHHARA,2025-2026,Ongoing,1712006041/IF/IAY/5772154,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126760904,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
104,SATNA,AMARPATAN,BACHHARA,2021-2022,Ongoing,1712006041/WH/22012034920176,बधिया तालाब जीर्णोधार कार्य बछरा (मनरेगा-15वा वित्‍त),Old Water Bodies,596000,0,705000,0,0,0,0,0,0,0,0,0,0
105,SATNA,AMARPATAN,BARREHBADA,2021-2022,Ongoing,1712006045/AV/22012034594144,फेंसिंग कार्य चारागाह के चारो ओर बैरेह बड़ा( मनरेगा अभिशरण),Other,116600,0,583000,0,0,0,0,0,0,0,0,0,0
106,SATNA,AMARPATAN,BARREHBADA,2023-2024,Ongoing,1712006045/AV/22012034652029,नवीन पंचायत भवन निर्माण कार्य ग्राम पंचायत बर्रेह (narega+15 wa witt),Panchayat & Community Bhawan,263000,737000,2000000,0,18480,0,0,0,0,0,0,0,0
107,SATNA,AMARPATAN,BARREHBADA,2024-2025,Ongoing,1712006045/AV/22012034664196,पुलिया निर्माण कार्य बूढीदायी तालाब के नीचे बर्रेहबड़ा(नरेगा +05 वित्त ),Puliya,31000,0,208000,0,0,0,0,0,0,0,0,0,0
